City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
293,Panuco,MX,2019-11-08 04:56:06,22.88,-102.54,64.4,59,75,11.41
294,Bouza,NE,2019-11-08 04:56:06,14.42,6.04,76.82,17,0,7.05
295,Sol-Iletsk,RU,2019-11-08 04:56:07,51.16,55.0,42.55,68,89,11.99
296,Ancud,CL,2019-11-08 04:56:07,-41.87,-73.83,42.1,82,100,2.28
297,Mackay,CA,2019-11-08 04:53:08,53.65,-115.58,33.8,96,90,3.36
298,Myaundzha,RU,2019-11-08 04:56:07,63.05,147.18,7.21,97,99,0.56
299,Buala,SB,2019-11-08 04:56:08,-8.15,159.59,83.82,67,97,1.77
300,San Cristobal,HN,2019-11-08 04:56:08,14.68,-86.92,64.35,98,21,2.46
301,Nouakchott,MR,2019-11-08 04:56:08,18.08,-15.98,66.2,72,69,11.41
302,Zhengjiatun,CN,2019-11-08 04:56:08,43.51,123.51,44.85,30,0,5.41
